City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Inhambane,MZ,82.2,scattered clouds,-23.865,35.3833,Hotel de Inhambane
348,Kandi,BJ,77.43,overcast clouds,11.1342,2.9386,God Blessing
357,Morondava,MG,83.8,scattered clouds,-20.2833,44.2833,Hotel Sharon Menabe
361,Hualmay,PE,70.47,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
362,Saint-Leu,RE,85.06,light rain,-21.15,55.2833,Iloha Seaview Hôtel
364,Maxixe,MZ,82.65,broken clouds,-23.8597,35.3472,Hotel Herry
365,Muisne,EC,75.67,light rain,0.6,-80.0333,Hostal Té de Menta
368,Thabazimbi,ZA,76.75,broken clouds,-24.5917,27.4116,Maroela Guest Lodge
371,Kaoma,ZM,71.6,light rain,-14.7833,24.8,Pumulo Pardway Lodge
372,Sao Joao Da Barra,BR,74.28,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
373,Namibe,AO,72.66,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
382,Jardim,BR,70.77,moderate rain,-21.4803,-56.1381,Hotel Uchôa
385,Kalmunai,LK,73.78,heavy intensity rain,7.4167,81.8167,Saji new food
386,Isla Mujeres,MX,75.25,clear sky,21.2311,-86.731,Villa La Bella
392,Rundu,,75.99,overcast clouds,-17.9333,19.7667,Kavango River Lodge
399,Bandundu,CD,78.42,overcast clouds,-3.3167,17.3667,Majestik Hotel
405,Antsohihy,MG,88.77,broken clouds,-14.8796,47.9875,Escale
411,Anloga,GH,81.54,overcast clouds,5.7947,0.8973,Hotel de White House
414,Windhoek,,75.42,broken clouds,-22.5594,17.0832,Protea Hotel Thüringer Hof
415,Ihiala,NG,79.5,overcast clouds,5.8538,6.8603,Crest Hotel Ltd.
428,Obuasi,GH,77.72,scattered clouds,6.206,-1.6619,Pemisah Hotel
432,Gurupi,BR,70.93,scattered clouds,-11.7292,-49.0686,Via Norte
434,Sokoto,NG,76.95,broken clouds,13.0609,5.239,Pinnade hotel
442,Pemba,MZ,81.21,few clouds,-12.974,40.5178,Hotel Rafael
446,Beira,MZ,82.0,light rain,-19.8436,34.8389,Hotel Savoy
449,Camana,PE,73.4,overcast clouds,-16.6228,-72.7111,Caja Arequipa
450,Yabelo,ET,74.53,few clouds,4.8833,38.0833,"250birr with slow WiFi,shower,water"
451,Wum,CM,78.24,overcast clouds,6.3833,10.0667,Morning Star hotel
453,Veraval,IN,81.12,clear sky,20.9,70.3667,Shyam
454,The Valley,AI,75.09,clear sky,18.217,-63.0578,CeBlue
456,Takoradi,GH,80.56,overcast clouds,4.8845,-1.7554,Hillcrest
457,Ellisras,ZA,81.37,broken clouds,-23.6649,27.7443,GPS Hotel
458,Mandera,KE,87.87,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
460,Pisco,PE,71.65,clear sky,-13.7,-76.2167,La Portada
471,Huruta,ET,71.19,clear sky,8.15,39.35,Keneni Hotel / ቀነኒ ሆቴል
474,Guarapari,BR,72.9,overcast clouds,-20.6667,-40.4975,Osmar Hotel
477,Ambanja,MG,86.49,light rain,-13.6833,48.45,Hôtel Salama Rose
482,Cockburn Town,TC,77.13,few clouds,21.4612,-71.1419,The Salt Raker Inn
487,Bulembu,SZ,77.11,scattered clouds,-25.9667,31.1333,Bulembu Lodge
488,Dwarka,IN,75.79,clear sky,22.2394,68.9678,The Dwarika Hotel
495,Boa Vista,BR,75.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
500,Natal,BR,74.05,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
502,Manta,EC,74.98,scattered clouds,-0.95,-80.7333,La Gaviota
505,Tabuk,PH,73.8,overcast clouds,17.4189,121.4443,Davidson Hotel
506,Fomboni,KM,81.7,few clouds,-12.28,43.7425,Mohéli La Plage
517,Bubaque,GW,76.48,broken clouds,11.2833,-15.8333,Chez Julio
523,Mananjary,MG,80.76,light rain,-21.2167,48.3333,Ideal Hotel Annexe
528,Beberibe,BR,75.22,scattered clouds,-4.1797,-38.1306,Pousada Ibitu
536,Itacare,BR,71.82,scattered clouds,-14.2775,-38.9967,Pousada Raisis
538,Guapiles,CR,74.73,broken clouds,10.2159,-83.7866,Cabinas del Rio
544,Kannangad,IN,85.32,overcast clouds,12.3081,75.1063,Raj Residency
548,Lima,PE,72.9,scattered clouds,-12.0432,-77.0282,Hotel Peach Garden
555,Puerto Ayora,EC,75.54,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
556,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
564,Makurdi,NG,85.33,scattered clouds,7.7411,8.5121,Benue Hotel and Resort
565,Benguela,AO,80.83,overcast clouds,-12.5763,13.4055,Hotel Moibela
568,Grand Gaube,MU,80.38,moderate rain,-20.0064,57.6608,Coco Villa
569,Springbok,ZA,74.23,clear sky,-29.6643,17.8865,Elkoweru Guesthouse
582,Alegrete,BR,71.33,clear sky,-29.7831,-55.7919,Expresso Hotel
585,Kahama,TZ,77.79,clear sky,-3.8333,32.6,Mpiga Pasi
595,Moroni,KM,81.88,light rain,-11.7022,43.2551,Ville de Moroni
597,Pao De Acucar,BR,74.16,overcast clouds,-9.7483,-37.4367,Pousada Avenida
604,Coari,BR,72.32,overcast clouds,-4.085,-63.1414,Hotel Saúde
607,Saint-Georges,GD,73.81,clear sky,12.0564,-61.7485,Deyna's City Inn
622,Isiro,CD,89.55,clear sky,2.7739,27.616,Hôtel Magbetu
629,Soyo,AO,81.7,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
639,Macapa,BR,74.07,overcast clouds,0.0389,-51.0664,Hotel Norte
642,Cobija,BO,70.11,overcast clouds,-11.0267,-68.7692,Hotel El Cristo
644,Kisangani,CD,86.59,clear sky,0.5167,25.2,Le Chalet
648,Coro,VE,72.66,scattered clouds,11.4045,-69.6734,Urumaco Suite
649,Tabou,CI,78.42,light rain,4.423,-7.3528,hôtel le rochet
651,Niamtougou,TG,77.99,overcast clouds,9.7681,1.1053,Hôtel de Niamtougou
653,Pimentel,PE,70.09,broken clouds,-6.8367,-79.9342,Hospedaje Calle del Sol
660,Chake Chake,TZ,84.34,overcast clouds,-5.2459,39.7666,Annex Pemba Hotel
661,Mbandaka,CD,80.38,scattered clouds,0.0487,18.2603,Hôtel Epervier
670,San Martin,AR,77.54,clear sky,-33.081,-68.4681,Hotel Lacava
672,Soure,BR,76.21,overcast clouds,-0.7167,-48.5233,Hotel Marajó
674,Abeche,TD,88.81,clear sky,13.8292,20.8324,فندق قيصر
675,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
683,Bagua Grande,PE,74.34,overcast clouds,-5.7561,-78.4411,Hotel Adria'n
685,Richards Bay,ZA,80.83,light rain,-28.783,32.0377,Protea Hotel
698,Senanga,ZM,74.52,light rain,-16.1167,23.2667,Senanga Safari Lodge
699,Imbituba,BR,71.82,broken clouds,-28.24,-48.6703,Silvestre Praia Hotel
