City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
658,Durres,AL,41.3231,19.4414,44.78,60,26,11.05,scattered clouds
659,La Seyne-Sur-Mer,FR,43.0982,5.8847,49.87,52,27,1.01,scattered clouds
660,Chake Chake,TZ,-5.2459,39.7666,84.34,59,91,7.96,overcast clouds
661,Mbandaka,CD,0.0487,18.2603,80.38,63,41,5.26,scattered clouds
662,Manjacaze,MZ,-24.7117,33.8828,86.61,49,90,4.97,overcast clouds
663,Fontem,CM,5.4685,9.8818,75.51,65,63,1.39,broken clouds
664,Ponta Delgada,PT,37.7333,-25.6667,56.12,76,20,6.91,few clouds
665,Sechenovo,RU,55.2244,45.8906,25.47,88,100,15.55,overcast clouds
666,Kambove,CD,-10.8764,26.5969,62.06,98,100,0.2,light rain
667,Aksarayskiy,RU,46.7924,48.0119,34.11,43,100,10.36,overcast clouds
668,Punta Gorda,US,26.9298,-82.0454,68.02,96,100,0.0,fog
669,Mweka,CD,-4.85,21.5667,74.21,69,90,2.82,overcast clouds
670,San Martin,AR,-33.081,-68.4681,77.54,55,3,4.85,clear sky
671,Muzhi,RU,65.3667,64.6667,0.91,96,100,3.89,overcast clouds
672,Soure,BR,-0.7167,-48.5233,76.21,88,96,5.5,overcast clouds
673,El Alto,PE,-4.2714,-81.2147,73.02,77,100,6.06,overcast clouds
674,Abeche,TD,13.8292,20.8324,88.81,9,6,10.6,clear sky
675,Maceio,BR,-9.6658,-35.7353,74.64,94,75,2.3,broken clouds
676,Zambezi,ZM,-13.5432,23.1047,67.44,92,100,3.47,light rain
677,Novomyrhorod,UA,48.7811,31.642,27.86,93,100,6.04,light snow
678,Cascais,PT,38.6979,-9.4215,46.06,62,0,14.0,clear sky
679,Peniche,PT,39.3558,-9.3811,41.56,64,3,6.91,clear sky
680,Grenada,ES,37.1882,-3.6067,28.35,86,0,6.91,clear sky
681,Japura,ID,-0.3167,102.35,80.11,83,99,4.21,overcast clouds
682,Gainesville,US,29.6516,-82.3248,65.08,86,100,4.61,fog
683,Bagua Grande,PE,-5.7561,-78.4411,74.34,72,99,3.56,overcast clouds
684,Luau,AO,-10.7073,22.2247,63.5,99,100,3.56,heavy intensity rain
685,Richards Bay,ZA,-28.783,32.0377,80.83,71,100,10.87,light rain
686,Kisesa,TZ,-3.0833,34.15,80.78,36,0,5.17,clear sky
687,Purgstall,AT,48.0584,15.1348,37.42,84,99,20.33,overcast clouds
688,Mazyr,BY,52.0495,29.2456,32.86,91,100,10.04,overcast clouds
689,Oppdal,NO,62.5943,9.6912,15.21,87,99,9.33,overcast clouds
690,Antofagasta,CL,-23.65,-70.4,67.28,86,65,2.33,broken clouds
691,Westport,US,41.1415,-73.3579,44.58,83,100,10.36,overcast clouds
692,Yining,CN,29.0361,114.5636,72.34,22,0,4.32,clear sky
693,Tortosa,ES,40.8125,0.5216,40.73,63,1,9.4,clear sky
694,Bobenheim-Roxheim,DE,49.5875,8.3578,36.99,90,40,5.75,scattered clouds
695,Una,IN,20.8167,71.0333,82.62,29,10,14.88,clear sky
696,Nelidovo,RU,56.2211,32.7774,31.73,95,98,12.75,light snow
697,Aleksandrov Gay,RU,50.147,48.5704,29.59,59,9,11.86,clear sky
698,Senanga,ZM,-16.1167,23.2667,74.52,76,100,7.31,light rain
699,Imbituba,BR,-28.24,-48.6703,71.82,93,84,4.65,broken clouds
